Label,Characteristic,Year,Characteristic_code,total_fatal_injuries,total_hours_worked,fatal_injury_rate,margin_of_error
,Transit and ground passenger transportation,2018,485000,55,"1,848",6,0.4
Occ,Bus service and urban transit ,2018,485000 except 485300,22,639,6.9,0.8
Occ,Taxi and limousine service ,2018,485300,33,"1,209",5.5,0.5
Occ,Support activities for transportation ,2018,488000,84,"1,542",10.9,0.8
Occ,Couriers and messengers,2018,492000,35,"1,504",4.7,0.4
Occ,Warehousing and storage ,2018,493000,26,"1,244",4.2,0.3
Ind,Utilities,2018,22,29,"2,195",2.6,0.2
Ind,Information ,2018,51,31,"5,367",1.2,0
,Publishing industries (except internet),2018,511000,14,879,3.2,0.3
Occ,Newspaper publishers,2018,511110,13,326,8,1.2
Ind,Financial activities,2018,"52, 53",108,"20,500",1.1,0
Occ,Finance and insurance,2018,52,30,"14,558",0.4,0
,Real estate and rental and leasing,2018,53,78,"5,942",2.6,0.1
Occ,Real estate ,2018,531000,49,"5,141",1.9,0.1
Occ,Rental and leasing services,2018,532000,29,801,7.2,0.8
Ind,Professional and business services,2018,"54, 55, 56",585,"35,534",3.3,0.1
,"Professional, scientific, and technical services",2018,54,87,"23,249",0.7,0
Occ,"Architectural, engineering, and related services ",2018,541300,27,"3,427",1.6,0.1
,"Management, administrative, and waste services",2018,"55, 56",498,"12,286",8,0.2
Occ,Employment services ,2018,561300,55,"1,697",6.5,0.4
Occ,Investigation and security services ,2018,561600,53,"1,617",6.6,0.5
Occ,Services to buildings and dwellings (except landscaping services) ,2018,"561700, except 561730",47,"2,704",3.4,0.2
Occ,Landscaping services,2018,561730,241,"2,519",18.8,1.1
Occ,Waste management and remediation services ,2018,562000,89,837,21.3,1.9
Ind,Educational and health services,2018,"61, 62",168,"44,391",0.7,0
Occ,Educational services,2018,61,30,"8,627",0.7,0
,Health care and social assistance,2018,62,138,"35,765",0.8,0
Occ,Ambulatory health care services,2018,621000,65,"14,155",0.9,0
Occ,Hospitals ,2018,622000,24,"12,201",0.4,0
Occ,Nursing and residential care facilities,2018,623000,32,"4,447",1.4,0.1
Occ,Social assistance,2018,624000,17,"4,961",0.6,0
Ind,Leisure and hospitality,2018,"71, 72",253,"22,930",2.2,0
,"Arts, entertainment, and recreation",2018,71,78,"4,946",3,0.1
Occ,"Performing arts, spectator sports, and related industries",2018,711000,44,"1,489",5.6,0.4
Occ,"Amusement, gambling, and recreation industries (except bowling centers)  ",2018,"713000, except 713950",29,"3,111",1.8,0.1
,Accommodation and food services,2018,72,175,"17,984",1.9,0
